Servo Input, Measured T Pass
1000, 29
1001, 18
1002, 17
1003, 17
1004, 16
1005, 16
1006, 16
1007, 15
1008, 16
1009, 16
1010, 15
1011, 15
1012, 16
1013, 17
1014, 17
1015, 18
1016, 18
1017, 17
1018, 18
1019, 19
1020, 18
1021, 18
1022, 18
1023, 19
1024, 19
1025, 18
1026, 19
1027, 17
1028, 18
1029, 18
1030, 17
1031, 17
1032, 17
1033, 17
1034, 17
1035, 16
1036, 15
1037, 16
1038, 15
1039, 15
1040, 16
1041, 16
1042, 16
1043, 16
1044, 17
1045, 17
1046, 16
1047, 16
1048, 17
1049, 18
1050, 18
1051, 18
1052, 20
1053, 19
1054, 20
1055, 19
1056, 19
1057, 18
1058, 19
1059, 18
1060, 17
1061, 18
1062, 18
1063, 18
1064, 18
1065, 17
1066, 17
1067, 16
1068, 15
1069, 16
1070, 15
1071, 15
1072, 15
1073, 17
1074, 17
1075, 17
1076, 17
1077, 17
1078, 17
1079, 17
1080, 17
1081, 18
1082, 18
1083, 19
1084, 19
1085, 19
1086, 19
1087, 18
1088, 18
1089, 18
1090, 18
1091, 17
1092, 17
1093, 18
1094, 19
1095, 18
1096, 18
1097, 16
1098, 17
1099, 15
1100, 15
1101, 15
1102, 15
1103, 16
1104, 17
1105, 16
1106, 16
1107, 16
1108, 16
1109, 16
1110, 17
1111, 17
1112, 17
1113, 19
1114, 19
1115, 19
1116, 19
1117, 18
1118, 19
1119, 18
1120, 18
1121, 18
1122, 18
1123, 18
1124, 18
1125, 19
1126, 18
1127, 17
1128, 17
1129, 17
1130, 17
1131, 16
1132, 16
1133, 16
1134, 16
1135, 16
1136, 17
1137, 16
1138, 16
1139, 15
1140, 16
1141, 17
1142, 16
1143, 18
1144, 18
1145, 19
1146, 19
1147, 19
1148, 18
1149, 18
1150, 18
1151, 18
1152, 18
1153, 19
1154, 19
1155, 19
1156, 18
1157, 18
1158, 17
1159, 18
1160, 17
1161, 17
1162, 17
1163, 17
1164, 16
1165, 16
1166, 16
1167, 15
1168, 16
1169, 15
1170, 16
1171, 16
1172, 17
1173, 18
1174, 18
1175, 18
1176, 19
1177, 18
1178, 18
1179, 18
1180, 18
1181, 18
1182, 18
1183, 20
1184, 19
1185, 19
1186, 19
1187, 18
1188, 17
1189, 18
1190, 18
1191, 17
1192, 17
1193, 17
1194, 18
1195, 17
1196, 15
1197, 15
1198, 15
